Colaborador,Fuente,Sexo,Origen,Nacimiento,Muerte
"Asturias, Miguel Ángel",http://viaf.org/viaf/46756659,M,Guatemala,1899,1974
"Asúnsolo, Enrique","Sheridan, Guillermo. Indices de Contemporáneos: Revista Mexicana de Cultura (1928-1931). México: UNAM, 1988.",M,México,1901,1960
"Attwell Ocantos, Carlos Raúl",https://www.wikidata.org/wiki/Q55460410,M,Argentina,1887,1942
"Aub, Max",http://viaf.org/viaf/9842306,M,Francia,1903,1972
"Auclair, Marcelle",http://viaf.org/viaf/109535619,F,Francia,1899,1983
"Audard, Pierre",https://fr.wikipedia.org/wiki/Pierre_Audard,M,Francia,1909,1981
"Augier, Ángel",http://viaf.org/viaf/109510407,M,Cuba,1910,2010
"Avelino, Andrés",http://viaf.org/viaf/17046740,M,República Dominicana,1900,1974
"Avellaneda, Nicolás",http://viaf.org/viaf/11273762,M,Argentina,1837,1885
"Avila, Julio Enrique",http://viaf.org/viaf/78978720,M,El Salvador,1892,1969
"Avilés Ramírez, Eduardo",http://viaf.org/viaf/81379767,M,Nicaragua,1895,1989
"Avilés Rodríguez, Ángel",http://viaf.org/viaf/87494242,M,España,1842,1924
"Aweranka, Eustaquio Rodriguez",http://joseportugalcatacora.blogspot.com/2014/04/,M,Perú,1890,1968
"Ayala, Francisco",http://viaf.org/viaf/110572828,M,España,1906,2009
"Ayguals de Izco, Wenceslao",http://viaf.org/viaf/3261686,M,España,1801,1873
"Aza, Vital",http://viaf.org/viaf/74116537,M,España,1851,1912
"Azaña, Manuel",http://viaf.org/viaf/22156967,M,España,1880,1940
"Azcárate, Gumersindo de",http://viaf.org/viaf/69319710,M,España,1840,1917
"Azcárraga y Palmero, Marcelo",http://viaf.org/viaf/87247193,M,Filipinas,1832,1915
"Azcoaga, Enrique",http://viaf.org/viaf/195982579,M,España,1912,1985
"Aznar, Joaquín","https://viaf.org/viaf/87634210/#Aznar,_Joaqu%C3%ADn_1884-1936",M,NA,1884,1936
"Aznar, Manuel Zubigaray",http://viaf.org/viaf/96930823,M,España,1894,1975
"Azócar, Rubén",http://viaf.org/viaf/10133251,M,Chile,1901,1965
"Azteca, Zenón de","Compare contributions no. 516, 532, 554, 583, 1454, 1957, 2529, 2618",NA,NA,NA,NA
"Azuela, Mariano",http://viaf.org/viaf/22181589,M,México,1873,1952
"Babel', Isaak Emmanuilovic",http://viaf.org/viaf/9842443,M,Rusia,1894,1940
"Bacaloglu, Elena",http://viaf.org/viaf/20573799,F,Rumania,1878,1947
"Bacarisse, Mauricio",http://viaf.org/viaf/22177850,M,España,1895,1931
"Bacchelli, Ricardo",http://viaf.org/viaf/64044782,M,Italia,1891,1985
