Colaborador,Fuente,Seudonimo,Sexo,Origen,Nacimiento,Muerte,GND_ID,Wikidata_ID,Colaboradores_GND,Sexo o género_GND,Fecha de nacimiento_GND,Fecha de fallecimiento_GND,Lugar de nacimiento GND,País de origen GND,Colaboradores_Wikidata,sexo o género_Wikidata,Lugar de nacimiento_Wikidata,País de origen_Wikidata,Fecha de nacimiento_Wikidata,Fecha de fallecimiento_Wikidata,Colaborador_VIAF,Link_VIAF,Otras fuentes,
"Archer, William",Wikidata,,M,Reino Unido,1856,1916,117763470,Q1382278,"Archer, William",männlich,1856,1924,Perth (Schottland),Großbritannien,William Archer,male,Perth,United Kingdom of Great Britain and Ireland,1856-09-23,9128,"Archer, William","https://viaf.org/viaf/2509112/#Archer,_William,_1856-1924",,
"Arcila Urrea, Jesús María",Sánchez: Diccionario Autores Antioqueños,Ulises,M,Colombia,1860,1910,,,,,,,,,,,,,,,,,,
"Arcila Vélez, Graciliano",https://www.wikidata.org/wiki/Q16493370,,M,Colombia,1912,2003,105711524X,Q16493370,"Arcila Vélez, Graciliano",Unbekannt,1912,,,,Graciliano Arcila Vélez,male,Amagá,Colombia,1912-09-04T00:00:00Z,2003-10-30T00:00:00Z,"Arcila Vélez, Graciliano, 1912-",http://viaf.org/viaf/30827353,30827353,
"Arcila, Aníbal",https://acortar.link/YxKcGF,NA,M,Colombia,1889,1915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
"Arciniegas, Germán",https://www.wikidata.org/wiki/Q1399691,,M,Colombia,1900,1999,118993151,Q1399691,"Arciniegas, Germán",Männlich,1900,1999,Bogotá,Kolumbien,Germán Arciniegas,male,Bogotá,Colombia,1900-12-06,1999-11-29,"Arciniegas, Germán",http://viaf.org/viaf/66462822,66462822,
"Arciniegas, Ismael Enrique",http://viaf.org/viaf/30956884,,M,Colombia,1865,1938,1182557600,Q5922599,"Arciniegas, Ismael Enrique",Unbekannt,1865-01-02,1938-01-23,Santander,Kolumbien,Ismael Enrique Arciniegas,male,Curití,Colombia,1865-01-02,1938-01-23,"Arciniegas, Ismael Enrique",http://viaf.org/viaf/30956884,,
"Ardila Casamitjana, Jaime",https://www.wikidata.org/wiki/Q28456945,,M,Colombia,1919,2019,1242119922,Q28456945,"Ardila Casamitjana, Jaime",Unbekannt,1919,2019,Santander (Departamento),Kolumbien,Jaime Ardila Casamitjana,male,Zapatoca,Colombia,1919-01-12T00:00:00Z,2019-01-30T00:00:00Z,"Ardila Casamitjana, Jaime, 1919-2019",http://viaf.org/viaf/170453030,170453030,
"Arenal, Concepción",https://es.wikipedia.org/wiki/Concepci%C3%B3n_Arenal,,F,España,1820,1893,119178753,Q671852,,,,,,,,,,,,,,http://viaf.org/viaf/17265226,,
"Arenas Betancourt, Rodrigo",https://www.wikidata.org/wiki/Q332420,,M,Colombia,1919,1995,,Q332420,"ARENAS BETANCUR, RODRIGO",,,,,,Rodrigo Arenas Betancourt,male,Fredonia,Colombia,1919-10-23T00:00:00Z,1995-05-14T00:00:00Z,"Arenas Betancourt, Rodrigo, 1919-....",http://viaf.org/viaf/44546458,44546458,
"Arenas Mantilla, Vicente",Sánchez: Diccionario; Echavarria,,M,Colombia,1912,1992,,,"Arenas Mantilla, Vicente",,,,,,"Arenas Mantilla, Vicente",,,,,,"Arenas Mantilla, Vicente",,,
"Arenas Serrano, Antonio Vicente",https://www.wikidata.org/wiki/Q109498207,,M,Colombia,1906,1988,,Q109498207,"Arenas Serrano, Antonio Vicente",,,,,,Antonio Vicente Arenas,male,Zapatoca,Colombia,1906-02-08T00:00:00Z,1988-06-25T00:00:00Z,"Arenas Serrano, Antonio Vicente",,,
"Arguedas Díaz, Alcides",https://es.wikipedia.org/wiki/Alcides_Arguedas,,M,Bolivia,1879,1946,118650068,Q1395155,,,,,,,,,,,,,,http://viaf.org/viaf/17262962,,
"Argüello, Agenor",https://viaf.org/viaf/search?query=local.names%20all%20%22Arg%C3%BCello%2C%20Agenor%22&sortKeys=holdingscount&recordSchema=BriefVIAF,,M,Nicaragua,1902,1962,,,,,,,,,,,,,,,,https://viaf.org/viaf/search?query=local.names%20all%20%22Arg%C3%BCello%2C%20Agenor%22&sortKeys=holdingscount&recordSchema=BriefVIAF,,
"Arias Argáez, Daniel",Ospina; WW Latin America 1; Minchero; Sánchez: Diccionario; Echavarria,,M,Colombia,1869,1951,,,"Arias Argaéz, Daniel",,,,,,"Arias Argaéz, Daniel",,,,,,"Arias Argáez, Daniel",http://viaf.org/viaf/121773010,121773010,
"Arias Suárez, Eduardo",https://www.wikidata.org/wiki/Q5818981,,M,Colombia,1897,1958,1158972717,Q5818981,"Arias Suárez, Eduardo",Unbekannt,,,,,Eduardo Arias Suárez,male,Armenia,Colombia,1897-02-05T00:00:00Z,1958-10-19T00:00:00Z,"Arias Suárez, Eduardo, 1897-1958",http://viaf.org/viaf/188443091,188443091,
"Arias Trujillo, Bernardo",https://www.wikidata.org/wiki/Q5726674,,M,Colombia,1903,1938,1224568966,Q5726674,"Arias Trujillo, Bernardo",Unbekannt,1903-11-19,1938-03-04,,,Bernardo Arias Trujillo,male,Manzanares,Colombia,1903-11-19T00:00:00Z,1938-03-04T00:00:00Z,"Arias Trujillo, Bernardo",,,
"Arias, Juan de Dios",https://d-nb.info/gnd/1056667354,,M,México,1828,1886,1056667354,,"Arias, Juan de Dios",Unbekannt,1828,1886,,,"Arias, Juan de Dios",,,,,,"Arias, Juan de Dios",http://viaf.org/viaf/50865283,50865283,
"Arrieta, Rafael Alberto",,,M,Argentina,1889,1968,131952080,Q1686070,"Arrieta, Rafael Alberto",,1889,1968,,Argentinien,Rafael Alberto Arrieta,male,Rauch,Argentina,1889-10-28,1968,"Arrieta, Rafael Alberto",https://viaf.org/viaf/73931592/,,
"Arriola de Bezoita, Jesús",https://repository.eafit.edu.co/items/adefce58-8bad-4793-9fd7-46d30851a94f,,M,España,1873,1931,,,,,,,,,,,,,,,,,,
"Arroyal, León de","https://viaf.org/viaf/18501071/#Arroyal,_Le%C3%B3n_de",,M,España,1755,1813,https://d-nb.info/gnd/119196158,https://www.wikidata.org/wiki/Q6538260,,,,,,,,,,,,,,http://viaf.org/viaf/18501071,,
"Arroyave de la Calle, Julio César",http://viaf.org/viaf/25922211; Sánchez: Diccionario Autores Antioqueños,,M,Colombia,1914,,,,"ARROYAVE CALLE, JULIO CESAR",,,,,,"ARROYAVE CALLE, JULIO CESAR",,,,,,"Arroyave de la Calle, Julio César 1914-",http://viaf.org/viaf/25922211,25922211,
"Arroyave Vélez, Eduardo",Gallo Martínez,,M,Colombia,1909,,,,,,,,,,,,,,,,"Arroyave Vélez, Eduardo",http://viaf.org/viaf/23548250,23548250,
"Arrubla, Gerardo",https://www.wikidata.org/wiki/Q93261615,,M,Colombia,1872,1946,1057288926,Q93261615,"Arrubla, Gerardo",Unbekannt,,,,,Gerardo Arrubla,male,,,1872-01-01T00:00:00Z,1946-01-01T00:00:00Z,"Arrubla, Gerardo, 1872-1946",http://viaf.org/viaf/44330666,44330666,
"Arteaga, Cristina de",https://www.wikidata.org/wiki/Q10864839,,F,España,1902,1984,118884557,Q10864839,"Arteaga, Cristina de",Unbekannt,1902,1984,Zarauz,Spanien,Cristina de Arteaga,female,Zarautz,España,1902-09-06,1984-07-13,"Arteaga, Cristina de",http://viaf.org/viaf/41145857129722922991,"4,11E+19",
"Artel, Jorge",https://www.wikidata.org/wiki/Q51730105,Agapito de Arcos,M,Colombia,1909,1994,122679849,Q51730105,"Artel, Jorge",Unbekannt,1909,1994,,,Jorge Artel,male,Cartagena de Indias,Colombia,1909-04-27T00:00:00Z,1994-08-20T00:00:00Z,"Artel, Jorge",http://viaf.org/viaf/27130996,27130996,
"Arturo, Aurelio",https://www.wikidata.org/wiki/Q775518,,M,Colombia,1906,1974,139076484,Q775518,"Arturo, Aurelio",Unbekannt,1906,1974,,,Aurelio Arturo,male,Bogotá,Colombia,1906-02-22T00:00:00Z,1974-11-24T00:00:00Z,"Arturo, Aurelio",http://viaf.org/viaf/2492066,2492066,
"Asbjørnsen, Peter Christen",https://d-nb.info/gnd/11536904X,,M,Noruega,1812,1885,11536904X,Q355485,"Asbjørnsen, Peter Christen",Männlich,1812-01-15,1885-01-06,Oslo,Norwegen,Peter Christen Asbjørnsen,male,Oslo,Norway,1812-01-15,1885-01-06,"Asbjørnsen, Peter Christen",http://viaf.org/viaf/116587918,116587918,
"Astudillo, Manuel María",Sánchez: Diccionario; Echavarria,,M,Colombia,1893,1934,,,"Astudillo, Manuel María",,,,,,"Astudillo, Manuel María",,,,,,"Astudillo, Manuel María",,,
"Atehortua, Abelardo",Gabriel Arango Mejía (1973). Genealogías de Antioquia y Caldas,NA,M,Colombia,1898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
"Auqué Lara, Javier",Sánchez: Diccionario; Avila A.; Echavarria; Hernández/Parra,,M,Colombia,1923,,,,"Auqué Lara, Javier",,,,,,"Auqué Lara, Javier",,,,,,"Auqué Lara, Javier",http://viaf.org/viaf/17334441,17334441,
"Ávalos Torrens, Pedro",http://ufdcimages.uflib.ufl.edu/AA/00/06/35/88/00006/bc1921193604.pdf,,M,Cuba,,,,,,,,,,,,,,,,,,,,
"Ávila, Alfonso María de","Orjuela, Bibliografía: Pérez Ortiz,",,M,Colombia,,,,,,,,,,,,,,,,,,,,
"Ayarza de Herrera, Emilia",https://www.wikidata.org/wiki/Q106554994,,F,Colombia,1919,1966,1056314982,Q106554994,"Ayarza, Emilia",Unbekannt,1919,1966,,,Emilia Ayarza de Herrera,female,Bogotá,Colombia,1919-05-22T00:00:00Z,1966-01-01T00:00:00Z,"Ayarza de Herrera, Emilia",,,
"Azurdia, José",UMES,,M,Guatemala,1865,1943,,,,,,,,,,,,,,,,,,
"Bacon, Francis",https://es.wikipedia.org/wiki/Francis_Bacon,,M,Reino Unido,1561,1626,118505696,Q37388,,,,,,,,,,,,,,http://viaf.org/viaf/31992319,,
"Badel Martínez, Dimas José",,"Badel, Dimas",M,Colombia,1895,1972,,,,,,,,,,,,,,,,http://viaf.org/viaf/11642709,,
"Badel Martínez, Dimas José",Catálogo autoridades BNC,,M,Colombia,1895,1972,,,,,,,,,,,,,,,,http://viaf.org/viaf/11642709,,
"Baena Quintero, Jairo",Sánchez: Diccionario; Echavarria,,M,Colombia,1923,,1057048178,,"Baena Quintero, Jairo",Unbekannt,1923,,,,"Baena Quintero, Jairo",,,,,,"Baena Quintero, Jairo",,,
"Baena Rios, Mario",Sánchez: Diccionario Autores Antioqueños,Hernando de la Luz,M,Colombia,,,,,,,,,,,,,,,,,,,,
"Baena, Fernando E.",Catálogo autoridades BNC,,M,Colombia,1879,1950,,,,,,,,,,,,,,,,,,
"Bagaría Bou, Luis",,,M,España,1882,1942,https://d-nb.info/gnd/131419188,https://www.wikidata.org/wiki/Q504959,,,,,,,,,,,,,,http://viaf.org/viaf/28202256,,
"Bahr, Hermann",https://d-nb.info/gnd/118505955,,M,Austria,1863,1934,118505955,Q94034,"Bahr, Hermann",Männlich,1863-07-19,1934-01-15,Linz,Österreich,Hermann Bahr,male,Linz,Austria,1863-07-19,1934-01-15,"Bahr, Hermann",http://viaf.org/viaf/36939191,36939191,
"Bai, Li",,Li-Tai-Pei,M,China,701,762,https://d-nb.info/gnd/118934163,https://www.wikidata.org/wiki/Q7071,,,,,,,,,,,,,,http://viaf.org/viaf/108726426,,
"Balaguer i Cirera, Víctor",https://www.wikidata.org/wiki/Q713246,,M,España,1824,1901,,Q713246,,,,,,,,,,,,,,"https://viaf.org/viaf/49796/#Balaguer,_V%C3%ADctor,_1824-1901",,
"Balart, Federico",http://viaf.org/viaf/56173138,,M,España,1831,1905,,,,,,,,,,,,,,,,,,
"Balbin de Unquera, Antonio",https://es.wikipedia.org/wiki/Antonio_Balb%C3%ADn_de_Unquera,,M,España,1842,1919,,https://www.wikidata.org/wiki/Q81619393,,,,,,,,,,,,,,http://viaf.org/viaf/59869851,,
"Ballvé, Faustino",https://d-nb.info/gnd/1217290354,,M,España,1887,1958,1217290354,Q16174056,,,,,,,,,,,,,,http://viaf.org/viaf/50575175,,
"Banchs, Enrique",https://www.wikidata.org/wiki/Q575904,,M,Argentina,1888,1968,118988123,Q575904,"Banchs, Enrique",Unbekannt,1888,1968,,,Enrique Banchs,male,Buenos Aires,Argentina,1888-02-08,1968-06-06,"Banchs, Enrique",http://viaf.org/viaf/41963167,41963167,
"Baralt, Rafael María",,,M,Venezuela,1810,1860,https://d-nb.info/gnd/11553895X,https://www.wikidata.org/wiki/Q7282210,,,,,,,,,,,,,,http://viaf.org/viaf/49956738,,
"Baraya, Antonio","Centenario del sacrificio de Ricaute, 1814-1914",,M,Colombia,1770,1816,,,,,,,,,,,,,,,,,,
"Barbier, Auguste",https://d-nb.info/gnd/11865713,,M,Francia,1805,1882,118657135,Q738494,"Barbier, Auguste",Männlich,1805-04-29,1882-02-13,Paris,France,Henri Auguste Barbier,male,Paris,France,1805-04-29,1882-02-13,"Barbier, Auguste",http://viaf.org/viaf/10639641,10639641,
"Bardina Castarà, Joan",https://es.wikipedia.org/wiki/Juan_Bardina,,M,España,1877,1950,139006346,Q9011837,,,,,,,,,,,,,,"https://viaf.org/viaf/70284927/#Bardina,_Joan,_1877-1950",,
"Baring, Maurice",https://es.wikipedia.org/wiki/Maurice_Baring,,M,Reino Unido,1874,1945,https://d-nb.info/gnd/119037173,https://www.wikidata.org/wiki/Q1363814,,,,,,,,,,,,,,http://viaf.org/viaf/44386303,,
Barón de Franzestein,"http://biblioteca.utec.edu.sv/hemeroteca/svpat/1928/PDF/PP19280907_0001%20copia.pdf; Corte Caballero, El Archivo documental del americanismo catálan (https://dallacorte.wordpress.com/wp-content/uploads/2013/11/2013-el-archivo-documental-del-americanismo-catalc3a1n.pdf)",Barón Franzestein,M,Austria,,1926,,,,,,,,,,,,,,,,,,
"Barón, Felipe","Ospina, Joaquín: Diccionario biográfico y bibliográfico de Colombia. - Bogotá : Cromos, 1927-1939.",,M,Colombia,1886,19..,,,,,,,,,,,,,,,,,,
"Barrau,Théophile",https://es.wikipedia.org/wiki/Th%C3%A9ophile_Barrau,,M,Francia,1848,1913,,Q3526626,,,,,,,,,,,,,,https://viaf.org/viaf/314847934/#Th%C3%A9ophile_Barrau_artiste_fran%C3%A7ais,,
"Barrenechea, Julio",https://www.wikidata.org/wiki/Q5862065,,M,Chile,1910,1979,131685562,Q5862065,,,,,,,,,,,,,,,,
"Barrera Parra, Jaime",Sánchez: Diccionario,,M,Colombia,1892,1935,140707425,,"Barrera Parra, Jaime",Unbekannt,1890,1935,,,"Barrera Parra, Jaime",,,,,,"Parra, Jaime Barrera 1892-1935",http://viaf.org/viaf/63998683,63998683,
"Barrera Treviño, Carlos",,,M,México,1888,1970,https://d-nb.info/gnd/1272464415,,,,,,,,,,,,,,,http://viaf.org/viaf/100233143,,
"Barrera Vargas, Camilo",Sánchez: Diccionario; Ardila/Viscaino; Echavarria,,M,Colombia,1902,1932,,,"Barrera Vargas, Camilo",,,,,,"Barrera Vargas, Camilo",,,,,,"Barrera Vargas, Camilo",,,
"Barrès, Maurice",https://es.wikipedia.org/wiki/Maurice_Barr%C3%A8s,,M,Francia,1862,1923,,Q314957,"Barres, Maurice",,,,,,Maurice Barrès,male,Charmes,France,1862-08-19,1923-12-04,"Barrés, Maurice 1862-1923",http://viaf.org/viaf/66463260,,
"Barreto, José María",https://es.wikipedia.org/wiki/Jos%C3%A9_Mar%C3%ADa_Barreto,,M,Perú,1875,1948,,,,,,,,,,,,,,,,,,
"Barrientos Restrepo, Samuel",http://viaf.org/viaf/78627079; Sánchez: Diccionario Autores Antioqueños,,M,Colombia,1908,,,,"BARRIENTOS RESTREPO, SAMUEL",,,,,,"BARRIENTOS RESTREPO, SAMUEL",,,,,,"Barrientos Restrepo, Samuel, 1908-",http://viaf.org/viaf/78627079,78627079,
"Bartrina, Joaquín María",https://es.wikipedia.org/wiki/Joaqu%C3%ADn_Bartrina,,M,España,1850,1880,1314386220,Q3813843,,,,,,,,,,,,,,http://viaf.org/viaf/1468170351454364900007,,
"Barzini, Luigi",https://d-nb.info/gnd/119261286,,M,Italia,1874,1947,119261286,,"Barzini, Luigi",Männlich,1874-02-07,1947-09-06,Orvieto,Italien,"Barzini, Luigi",,,,,,"Barzini, Luigi",http://viaf.org/viaf/4941200,4941200,
"Bastidas, Emilio",https://d-nb.info/gnd/1057252867,,M,Ecuador,1905,1976,1057252867,,"Bastidas, Emilio",Unbekannt,1905,1976,,,"Bastidas, Emilio",,,,,,"Bastidas, Emilio","https://viaf.org/viaf/224136155/#Bastidas,_Emilio,_1905-1976",,
"Basto, Carlos María","La musa americana (Paraguay); Arboleda, Gustavo. (1962). Diccionario Biográfico y Genealógico del Departamento del Cauca",,M,Colombia,,,,,,,,,,,,,,,,,,,,
"Bataille, Henry",https://fr.wikipedia.org/wiki/Henry_Bataille,NA,M,Francia,1872,1922,NA,https://www.wikidata.org/wiki/Q733257,NA,NA,NA,NA,NA,NA,Henry Bataille,M,Nimes,Francia,4 de April de 1872,8097,"Bataille, Henry","https://viaf.org/viaf/61541516/#Bataille,_Henry,_1872-1922",,
"Baty, Thomas",Wikidata,"Baty, Th.; Clyde, Irene",M,Reino Unido,1869,1954,1055318321,Q7787479,"Baty, Thomas",,1869,1954,,,Thomas Baty,non-binary,Stanwix,England,1869-02-08,19764,"Baty, Thomas",http://viaf.org/viaf/34609887,,
"Baudelaire, Charles",https://es.wikipedia.org/wiki/Charles_Baudelaire,,M,Francia,1821,1867,118507184,Q501,,,,,,,,,,,,,,http://viaf.org/viaf/17218730,,
"Bayona Posada, Jorge",https://www.diccionariodecolombia.expert/diccionario-enciclopedico/bayona-posada-jorge/,,M,Colombia,1888,1948,,,,,,,,,"Bayona Posada, Jorge",,,,,,"Bayona Posada, Jorge",,,
"Bayona Posada, Nicolás",https://viaf.org/viaf/1373622,,M,Colombia,1899,1963,1057721468,,"Bayona Posada, Nicolás",Unbekannt,1902,,,,"Bayona Posada, Nicolás",,,,,,"Bayona Posada, Nicolás",https://viaf.org/viaf/1373622,1373622,
"Beaunier, André",https://en.wikipedia.org/wiki/Andr%C3%A9_Beaunier,,M,Francia,1869,1925,116125004,Q2847245,"Beaunier, André",Männlich,1869-09-22,1925-12-09,Évreux,Frankreich,André Beaunier,male,Évreux,France,1869-09-22,1925-12-09,"Beaunier, André",http://viaf.org/viaf/51685468,,
"Bebel, August",https://es.wikipedia.org/wiki/August_Bebel,,M,Alemania,1840,1913,118507893,Q76520,,,,,,,,,,,,,,http://viaf.org/viaf/97092470,,
"Becerra, Ricardo",https://d-nb.info/gnd/1053050852,,M,Colombia,1836,1905,1053050852,,"Becerra, Ricardo",Unbekannt,1836-10-24,1905-04-04,Bogotá,Kolumbien,Ricardo Alfredo Becerra,,,,,,"Becerra, Ricardo",http://viaf.org/viaf/16077368,16077368,
"Becher, Johannes Robert",https://es.wikipedia.org/wiki/Johannes_R._Becher,,M,Alemania,1891,1958,https://d-nb.info/gnd/118507931,https://www.wikidata.org/wiki/Q58057,,,,,,,,,,,,,,http://viaf.org/viaf/49241183,,
"Bécquer, Gustavo Adolfo",https://d-nb.info/gnd/11890423X,,M,España,1836,1870,11890423X,Q203715,"Bécquer, Gustavo Adolfo",Männlich,1836,1870,Sevilla,Spanien,Gustavo Adolfo Bécquer,male,Seville,España,1836-02-17,1870-12-22,"Bécquer, Gustavo Adolfo, 1836-1870.",http://viaf.org/viaf/39390815,39390815,
"Bedoya Céspedes, Libardo",https://d-nb.info/gnd/1057458341,,M,Colombia,1912,,1057458341,,"Bedoya Céspedes, Libardo",Unbekannt,1912,,,,"BEDOYA CESPEDES, LIBARDO",,,,,,"Bedoya Céspedes, Libardo 1912-",http://viaf.org/viaf/103576104,103576104,
"Bedoya M., Luis I.",https://d-nb.info/gnd/1157350143,,M,Colombia,,,1157350143,,"Bedoya M., Luis I.",Unbekannt,,,,,"BEDOYA M., LUIS IVAN",,,,,,"Bedoya M., Luis Iván",http://viaf.org/viaf/93434434,93434434,
"Bellaigue, Camile",https://www.wikidata.org/wiki/Q365141,,M,Francia,1858,1930,1020675659,Q3651418,"Bellaigue, Camille",Unbekannt,1858,1930,,,"Bellaigue, Camile",male,Paris,France,1858-05-24,1930-10-04,"Bellaigue, Camile",http://viaf.org/viaf/66734105,66734105,
"Bello, Andrés",https://es.wikipedia.org/wiki/Andr%C3%A9s_Bello,,M,Venezuela,1781,1865,118658069,Q439195,"Bello, Andrés",Männlich,1781-11-29,1865-10-15,Caracas,Venezuela,Andrés Bello,male,Caracas,Venezuela,1781-11-29,1865-10-15,"Bello, Andrés",http://viaf.org/viaf/22152206,,
"Belloc, Hilaire",https://es.wikipedia.org/wiki/Hilaire_Belloc,,M,Reino Unido,1870,1953,118658077,Q333106,,,,,,,,,,,,,,http://viaf.org/viaf/59113521,,
"Benavente, Jacinto",http://viaf.org/viaf/64015709,,M,España,1866,1954,,,,,,,,,,,,,,,,,,
"Benet y Castellón, Eduardo","https://viaf.org/viaf/45741655/#Benet_y_Castell%C3%B3n,_Eduardo,_1879-1965",,M,Cuba,1879,1965,1159067732,,,,,,,,,,,,,,,"https://viaf.org/viaf/45741655/#Benet_y_Castell%C3%B3n,_Eduardo,_1879-1965",ecured.cu/Eduardo_Benet,
"Bengoechea, Alfredo de",https://viaf.org/viaf/64249542,,M,Colombia,1877,1954,,,,,,,,,,,,,,,"Bengoechea, Alfredo de",https://viaf.org/viaf/64249542,64249542,https://catalogue.bnf.fr/ark:/12148/cb14569646z
"Bengoechea, Hernán de",https://en.wikipedia.org/wiki/Hernando_de_Bengoechea,,M,Francia,1899,1915,,Q62768411,,,,,,,,,,,,,,http://viaf.org/viaf/9981307,,
"Bernal Jiménez, Rafael",https://www.wikidata.org/wiki/Q96635745,,M,España,1898,1974,,Q96635745,"Bernal Jiménez, Rafael",,,,,,Rafael Bernal Jiménez,male,,,1898-01-01T00:00:00Z,1974-01-01T00:00:00Z,"Bernal Jiménez, Rafael","https://viaf.org/viaf/70773232/#Bernal_Jim%C3%A9nez,_Rafael,_1898-1974.",,
"Bernal, José María",https://www.wikidata.org/wiki/Q18590618,,M,Colombia,1895,1965,,Q18590618,"BERNAL, JOSÉ MARÍA",,,,,,José María Bernal,male,La Ceja del Tambo,Colombia,1895-06-29T00:00:00Z,1965-09-28T00:00:00Z,"BERNAL, JOSÉ MARÍA",,,
"Bernal, Luis",Otero Muñoz 1958,,M,Colombia,,,,,,,,,,,,,,,,,,,,
"Berrío Acevedo, Manuel Tiberio",Sánchez: Diccionario,,M,Colombia,1890,,,,"Berrío Acevedo, Manuel Tiberio",,,,,,"Berrío Acevedo, Manuel Tiberio",,,,,,"Berrío Acevedo, Manuel Tiberio",,,
"Berrío París, Julio",https://es.wikipedia.org/wiki/Julio_Berr%C3%ADo_Par%C3%ADs,,M,Colombia,1867,1858,1277563233,Q5954995,,,,,,,,,,,,,,http://viaf.org/viaf/2530167391532583590007,,
"Berthoud, Eugène",https://viaf.org/viaf/76675522/,,M,Francia,1828,1872,,,,,,,,,,,,,,,,https://viaf.org/viaf/76675522/,,
"Bértis, Juan",,,M,El Salvador,,1899,,https://www.wikidata.org/wiki/Q111437349,,,,,,,,,,,,,,http://viaf.org/viaf/46334807,,
"Bertot, Jean",,Juan Bertot,M,Francia,1856,,https://d-nb.info/gnd/123837560X,https://www.wikidata.org/wiki/Q28653820,,,,,,,,,,,,,,http://viaf.org/viaf/49357238,,
"Betancourt Villegas, Félix",Sánchez: Diccionario,,M,Colombia,1872,1948,,,"Betancourt, Felix",,,,,,Félix Betancourt,,,,,,"Betancourt, Felix",,"https://www.google.de/books/edition/Escritores_de_Antioquia/OwUjAQAAIAAJ?hl=es&gbpv=1&bsq=Betancourt+Villegas,+F%C3%A9lix&dq=Betancourt+Villegas,+F%C3%A9lix&printsec=frontcover",
"Betancourt, José Luis","Rendón, Ricardo (1994): 400 personajes en la pluma de Rendón",,M,Colombia,1886,1974,,,,,,,,,,,,,,,,,,
"Betancourt, Pedro Pablo",Gallo Martínez: Diccionario Biográfico,,M,Colombia,1874,1933,,,,,,,,,,,,,,,,"https://www.google.de/books/edition/Gu%C3%ADa_ilustrada_de_Medell%C3%ADn/RD2B0Bwz_d0C?hl=es&gbpv=1&dq=Betancourt,+Pedro+pablo&pg=PA158&printsec=frontcover",,
"Betancur Arango, José Ignacio",Sánchez: Diccionario Autores Antioqueños,Jiba,M,Colombia,,,,,,,,,,,,,,,,,,,,
"Betancur Cuartas, Belisario",https://www.wikidata.org/wiki/Q345571,,M,Colombia,1923,2018,119048574,Q345571,"Betancur Cuartas, Belisario",Unbekannt,1923-02-04,2018-12-07,,,Belisario Betancur,male,Amagá,Colombia,1923-02-04T00:00:00Z,2018-12-07T00:00:00Z,"Betancur, Belisario, 1923-2018",http://viaf.org/viaf/79020460,79020460,
"Betancur Cuartas, Jaime",https://www.wikidata.org/wiki/Q113500083,,M,Colombia,1930,,,Q113500083,"BETANCUR CUARTAS, JAIME",,,,,,Jaime Betancur Cuartas,male,,,,,"Betancur Cuartas, Jaime, 1930-",http://viaf.org/viaf/72728516,72728516,
"Betancur Mejía, Gabriel",https://www.wikidata.org/wiki/Q620757,,M,Colombia,1918,2002,1057716707,Q620757,"Betancur Mejía, Gabriel",Unbekannt,,,,,Gabriel Betancourt Mejía,male,Medellín,Colombia,1918-04-27T00:00:00Z,2002-03-23T00:00:00Z,"Betancur Mejía, Gabriel",http://viaf.org/viaf/58075708,58075708,
"Betancur, Agapito",https://d-nb.info/gnd/1057613061,,M,Colombia,1859,1936,1057613061,,"Betancur, Agapito",Unbekannt,1859,1936,,,"BETANCUR, AGAPITO",,,,,,"Betancur, Agapito, 1859-1936",http://viaf.org/viaf/63525031,63525031,
"Betancur, Cayetano",https://es.wikipedia.org/wiki/Cayetano_Betancur,,M,Colombia,1910,1982,,Q2943398,,,,,,,,,,,,,,"https://viaf.org/viaf/17287212/#Betancur,_Cayetano",,
"Beyle, Henri",http://viaf.org/viaf/17823,,M,Francia,1783,1842,,,,,,,,,,,,,,,,,,
"Biart, Lucien",https://www.wikidata.org/wiki/Q18000273,,M,Francia,1829,1897,,Q18000273,,,,,,,,,,,,,,,,
"Bilac, Olavo",https://d-nb.info/gnd/121751961,,M,Brasil,1865,1918,121751961,Q982354,,,,,,,,,,,,,,http://viaf.org/viaf/73898176,73898176,
"Bissière, Roger",https://www.wikidata.org/wiki/Q518444,,M,Francia,1886,1964,,Q518444,Bissière,,,,,,Roger Bissière,male,Villeréal,France,1886-09-22,1964-12-02,"Bissière, Roger, 1886-1964",http://viaf.org/viaf/49275774,49275774,
